dist_group,main_mode,share
0 - 1000,bike,0.05431618817899002
0 - 1000,car,0.031216669310203
0 - 1000,pt,0.0012298417638100443
0 - 1000,ride,0.01929390934129713
0 - 1000,walk,0.14568353330391315
1000 - 2000,bike,0.01912094472020174
1000 - 2000,car,0.04206126416523887
1000 - 2000,pt,0.006125610783078046
1000 - 2000,ride,0.015018450003780185
1000 - 2000,walk,0.028682645671379056
2000 - 5000,bike,0.025207557865234546
2000 - 5000,car,0.13695546693420932
2000 - 5000,pt,0.011575801348651667
2000 - 5000,ride,0.03633788006858987
2000 - 5000,walk,0.01911150073233698
5000 - 10000,bike,0.011838556537851376
5000 - 10000,car,0.11269186948089517
5000 - 10000,pt,0.013102503056468777
5000 - 10000,ride,0.027491496179970917
5000 - 10000,walk,0.006142216096671607
10000 - 20000,bike,0.00281739136837012
10000 - 20000,car,0.0755031637087224
10000 - 20000,pt,0.01383155988361684
10000 - 20000,ride,0.020277335207750966
10000 - 20000,walk,0.0001990871342660644
20000+,bike,0.003061190266223855
20000+,car,0.09845227912097768
20000+,pt,0.0036358034320222465
20000+,ride,0.01901828433527827
20000+,walk,0.0
