dist_group,main_mode,share
0 - 1000,bike,0.2157629203250064
0 - 1000,car,0.12400354220355093
0 - 1000,pt,0.004885362161698109
0 - 1000,ride,0.07664216439942374
0 - 1000,walk,0.5787060109103207
1000 - 2000,bike,0.17224692864536398
1000 - 2000,car,0.3788998751588497
1000 - 2000,pt,0.05518125066003455
1000 - 2000,ride,0.1352904850685536
1000 - 2000,walk,0.2583814604671981
2000 - 5000,bike,0.10998627809345088
2000 - 5000,car,0.5975676879599303
2000 - 5000,pt,0.05050784027132093
2000 - 5000,ride,0.15855039206564583
2000 - 5000,walk,0.08338780160965216
5000 - 10000,bike,0.06912354002160712
5000 - 10000,car,0.6579907715325366
5000 - 10000,pt,0.07650353246287123
5000 - 10000,ride,0.16051868573455097
5000 - 10000,walk,0.03586347024843422
10000 - 20000,bike,0.025014897963181838
10000 - 20000,car,0.6703732954089843
10000 - 20000,pt,0.12280688549155136
10000 - 20000,ride,0.1800372773487143
10000 - 20000,walk,0.0017676437875682608
20000+,bike,0.024653704529394964
20000+,car,0.7928985749351034
20000+,pt,0.029281428380669564
20000+,ride,0.15316629215483207
20000+,walk,0.0
