age,economic_status,dist_group,main_mode,share
,,0 - 1000,bike,0.05431618817899002
,,0 - 1000,car,0.031216669310203
,,0 - 1000,pt,0.0012298417638100443
,,0 - 1000,ride,0.01929390934129713
,,0 - 1000,walk,0.14568353330391315
,,1000 - 2000,bike,0.01912094472020174
,,1000 - 2000,car,0.04206126416523887
,,1000 - 2000,pt,0.006125610783078046
,,1000 - 2000,ride,0.015018450003780185
,,1000 - 2000,walk,0.028682645671379056
,,2000 - 5000,bike,0.025207557865234546
,,2000 - 5000,car,0.13695546693420932
,,2000 - 5000,pt,0.011575801348651667
,,2000 - 5000,ride,0.03633788006858987
,,2000 - 5000,walk,0.01911150073233698
,,5000 - 10000,bike,0.011838556537851376
,,5000 - 10000,car,0.11269186948089517
,,5000 - 10000,pt,0.013102503056468777
,,5000 - 10000,ride,0.027491496179970917
,,5000 - 10000,walk,0.006142216096671607
,,10000 - 20000,bike,0.00281739136837012
,,10000 - 20000,car,0.0755031637087224
,,10000 - 20000,pt,0.01383155988361684
,,10000 - 20000,ride,0.020277335207750966
,,10000 - 20000,walk,0.0001990871342660644
,,20000+,bike,0.003061190266223855
,,20000+,car,0.09845227912097768
,,20000+,pt,0.0036358034320222465
,,20000+,ride,0.01901828433527827
,,20000+,walk,0.0
0 - 12,,0 - 1000,bike,0.0424123202325245
0 - 12,,0 - 1000,car,0.0
0 - 12,,0 - 1000,pt,0.0025770154730283814
0 - 12,,0 - 1000,ride,0.08294092904837969
0 - 12,,0 - 1000,walk,0.15670748750795632
0 - 12,,1000 - 2000,bike,0.0
0 - 12,,1000 - 2000,car,0.0
0 - 12,,1000 - 2000,pt,0.0014082494088304978
0 - 12,,1000 - 2000,ride,0.10545564882238147
0 - 12,,1000 - 2000,walk,0.009056202303628748
0 - 12,,2000 - 5000,bike,0.037572150203521004
0 - 12,,2000 - 5000,car,0.0
0 - 12,,2000 - 5000,pt,0.009004529686144179
0 - 12,,2000 - 5000,ride,0.16067253829666814
0 - 12,,2000 - 5000,walk,0.0810962661446554
0 - 12,,5000 - 10000,bike,0.03955687551744341
0 - 12,,5000 - 10000,car,0.0
0 - 12,,5000 - 10000,pt,0.01584983411776204
0 - 12,,5000 - 10000,ride,0.07850222305133919
0 - 12,,5000 - 10000,walk,0.0
0 - 12,,10000 - 20000,bike,0.0016497441420122042
0 - 12,,10000 - 20000,car,0.0
0 - 12,,10000 - 20000,pt,0.05815432505814488
0 - 12,,10000 - 20000,ride,0.04878588463287295
0 - 12,,10000 - 20000,walk,0.0
0 - 12,,20000+,bike,0.0
0 - 12,,20000+,car,0.0
0 - 12,,20000+,pt,0.015905863530850498
0 - 12,,20000+,ride,0.05269191282185665
0 - 12,,20000+,walk,0.0
12 - 18,,0 - 1000,bike,
12 - 18,,0 - 1000,car,
12 - 18,,0 - 1000,pt,
12 - 18,,0 - 1000,ride,
12 - 18,,0 - 1000,walk,
12 - 18,,1000 - 2000,bike,
12 - 18,,1000 - 2000,car,
12 - 18,,1000 - 2000,pt,
12 - 18,,1000 - 2000,ride,
12 - 18,,1000 - 2000,walk,
12 - 18,,2000 - 5000,bike,
12 - 18,,2000 - 5000,car,
12 - 18,,2000 - 5000,pt,
12 - 18,,2000 - 5000,ride,
12 - 18,,2000 - 5000,walk,
12 - 18,,5000 - 10000,bike,
12 - 18,,5000 - 10000,car,
12 - 18,,5000 - 10000,pt,
12 - 18,,5000 - 10000,ride,
12 - 18,,5000 - 10000,walk,
